Name,Infant Mortality,,
Location,TimeFrame,Data,Fips
Mott Haven,2011,6.3,201
Murray Hill/Stuyvesant,2011,3.9,106
Park Slope,2011,1.9,306
Pelham Parkway,2011,6.3,211
Queens Village,2011,6.4,413
Rego Park/Forest Hills,2011,2.3,406
Ridgewood/Glendale,2011,3.7,405
Riverdale,2011,5.3,208
Sheepshead Bay,2011,2.1,315
South Beach,2011,4.5,502
St. George,2011,5.5,501
Sunnyside/Woodside,2011,2.4,402
Sunset Park,2011,2.9,307
The Rockaways,2011,7.2,414
Throgs Neck,2011,4.6,210
Tottenville,2011,3.6,503
Unionport/Soundview,2011,5.4,209
University Heights,2011,7.3,205
Upper East Side,2011,2.5,108
Upper West Side,2011,1.3,107
Washington Heights,2011,4.9,112
Williamsbridge,2011,6,212
Williamsburg/Greenpoint,2011,2.4,301
Woodhaven,2011,3.5,409
Astoria,2012,4.7,401
Battery Park/Tribeca,2012,1.2,101
Bay Ridge,2012,3.5,310
Bayside,2012,2.4,411
Bedford Park,2012,4.3,207
Bedford Stuyvesant,2012,6,303
Bensonhurst,2012,4.4,311
Borough Park,2012,2,312
Brownsville,2012,7.4,316
Bushwick,2012,4.5,304
Canarsie,2012,5.2,318
Central Harlem,2012,8.4,110
Chelsea/Clinton,2012,2.9,104
Concourse/Highbridge,2012,5.5,204
Coney Island,2012,6.3,313
Crown Heights North,2012,7.2,308
Crown Heights South,2012,3.1,309
East Flatbush,2012,7.2,317
East Harlem,2012,5.3,111
East New York,2012,7.7,305
East Tremont,2012,9,206
Elmhurst/Corona,2012,5.1,404
Flatbush/Midwood,2012,3.9,314
Flushing,2012,3.3,407
Fort Greene/Brooklyn Hts,2012,3.4,302
Fresh Meadows/Briarwood,2012,4.3,408
Greenwich Village,2012,2.4,102
Howard Beach,2012,4.6,410
Hunts Point,2012,8.7,202
Jackson Heights,2012,4.1,403
Jamaica/St. Albans,2012,8.7,412
Lower East Side,2012,2.6,103
Midtown Business District,2012,5.7,105
Morrisania,2012,6.9,203
Mott Haven,2012,6.6,201
Murray Hill/Stuyvesant,2012,2.3,106
Park Slope,2012,2.6,306
Pelham Parkway,2012,3.8,211
Queens Village,2012,7.2,413
Rego Park/Forest Hills,2012,2.8,406
Ridgewood/Glendale,2012,3.4,405
Riverdale,2012,4,208
Sheepshead Bay,2012,2.6,315
South Beach,2012,5.1,502
St. George,2012,6,501
Sunnyside/Woodside,2012,2.9,402
Sunset Park,2012,2.2,307
The Rockaways,2012,7.5,414
Throgs Neck,2012,2.4,210
Tottenville,2012,3.3,503
Unionport/Soundview,2012,4.2,209
University Heights,2012,6.1,205
Upper East Side,2012,1.5,108
Upper West Side,2012,2.2,107
Washington Heights,2012,4.2,112
Williamsbridge,2012,6.6,212
Williamsburg/Greenpoint,2012,2.4,301
Woodhaven,2012,2.8,409
Astoria,2013,4.5,401
Battery Park/Tribeca,2013,1.5,101
Bay Ridge,2013,2.5,310
Bayside,2013,2.9,411
Bedford Park,2013,3.9,207
Bedford Stuyvesant,2013,5,303
Bensonhurst,2013,3.9,311
Borough Park,2013,1.8,312
Brownsville,2013,8,316
Bushwick,2013,5,304
Canarsie,2013,5.6,318
Central Harlem,2013,8.1,110
Chelsea/Clinton,2013,4.9,104
Concourse/Highbridge,2013,5.5,204
Coney Island,2013,5.5,313
Crown Heights North,2013,7.1,308
Crown Heights South,2013,2.8,309
East Flatbush,2013,6.1,317
East Harlem,2013,6,111
East New York,2013,7.8,305
East Tremont,2013,8.7,206
Elmhurst/Corona,2013,4.9,404
Flatbush/Midwood,2013,4,314
Flushing,2013,2.9,407
Fort Greene/Brooklyn Hts,2013,2.7,302
Fresh Meadows/Briarwood,2013,3.6,408
Greenwich Village,2013,2,102
Howard Beach,2013,5.5,410
Hunts Point,2013,7.8,202
Jackson Heights,2013,3.3,403
Jamaica/St. Albans,2013,9,412
Lower East Side,2013,2.4,103
Midtown Business District,2013,4.5,105
Morrisania,2013,7.7,203
Mott Haven,2013,6.6,201
Murray Hill/Stuyvesant,2013,2.1,106
Park Slope,2013,2.2,306
Pelham Parkway,2013,5,211
Queens Village,2013,7.2,413
Rego Park/Forest Hills,2013,3,406
Ridgewood/Glendale,2013,3.4,405
Riverdale,2013,4.1,208
Sheepshead Bay,2013,2.6,315
South Beach,2013,4.2,502
St. George,2013,6.1,501
Sunnyside/Woodside,2013,4.6,402
Sunset Park,2013,1.6,307
The Rockaways,2013,6.5,414
Throgs Neck,2013,3.1,210
Tottenville,2013,2.9,503
Unionport/Soundview,2013,4.4,209
University Heights,2013,5.4,205
Upper East Side,2013,1,108
Upper West Side,2013,2.2,107
Washington Heights,2013,3.6,112
Williamsbridge,2013,7.8,212
Williamsburg/Greenpoint,2013,2.4,301
Woodhaven,2013,2.7,409
Astoria,2014,4.3,401
Battery Park/Tribeca,2014,2,101
Bay Ridge,2014,2,310
Bayside,2014,1.9,411
Bedford Park,2014,4.2,207
Bedford Stuyvesant,2014,5.3,303
Bensonhurst,2014,3.5,311
Borough Park,2014,1.9,312
Brownsville,2014,6.1,316
Bushwick,2014,5.3,304
Canarsie,2014,5.1,318
Central Harlem,2014,6.7,110
Chelsea/Clinton,2014,5.1,104
Concourse/Highbridge,2014,4.7,204
Coney Island,2014,5.7,313
Crown Heights North,2014,8.5,308
Crown Heights South,2014,2.8,309
East Flatbush,2014,7,317
East Harlem,2014,5.7,111
East New York,2014,7.4,305
East Tremont,2014,8.7,206
Elmhurst/Corona,2014,4.3,404
Flatbush/Midwood,2014,3.8,314
Flushing,2014,3.1,407
Fort Greene/Brooklyn Hts,2014,2.2,302
Fresh Meadows/Briarwood,2014,3,408
Greenwich Village,2014,0.8,102
Howard Beach,2014,5.8,410
Hunts Point,2014,6,202
Jackson Heights,2014,4.5,403
Jamaica/St. Albans,2014,7.5,412
Lower East Side,2014,2.1,103
Midtown Business District,2014,5.2,105
Morrisania,2014,5.4,203
Mott Haven,2014,6.4,201
Murray Hill/Stuyvesant,2014,1,106
Park Slope,2014,2.5,306
Pelham Parkway,2014,6.9,211
Queens Village,2014,5.7,413
Rego Park/Forest Hills,2014,3.2,406
Ridgewood/Glendale,2014,2.3,405
Riverdale,2014,4.1,208
Sheepshead Bay,2014,2.5,315
South Beach,2014,2.7,502
St. George,2014,7.2,501
Sunnyside/Woodside,2014,4.5,402
Sunset Park,2014,1.8,307
The Rockaways,2014,6.4,414
Throgs Neck,2014,2.8,210
Tottenville,2014,2.6,503
Unionport/Soundview,2014,5,209
University Heights,2014,4.8,205
Upper East Side,2014,0.8,108
Upper West Side,2014,2.8,107
Washington Heights,2014,3.5,112
Williamsbridge,2014,8.4,212
Williamsburg/Greenpoint,2014,2.3,301
Woodhaven,2014,3.2,409
Astoria,2015,4.3,401
Battery Park/Tribeca,2015,3.2,101
Bay Ridge,2015,0.9,310
Bayside,2015,3.4,411
Bedford Park,2015,3.6,207
Bedford Stuyvesant,2015,5.7,303
Bensonhurst,2015,3.7,311
Borough Park,2015,2.2,312
Brownsville,2015,4.9,316
Bushwick,2015,3.8,304
Canarsie,2015,4.3,318
Central Harlem,2015,7.2,110
Chelsea/Clinton,2015,4,104
Concourse/Highbridge,2015,3.8,204
Coney Island,2015,5.6,313
Crown Heights North,2015,5.4,308
Crown Heights South,2015,3.5,309
East Flatbush,2015,7.1,317
East Harlem,2015,5.9,111
East New York,2015,6.2,305
East Tremont,2015,5.8,206
Elmhurst/Corona,2015,3.7,404
Flatbush/Midwood,2015,4.1,314
Flushing,2015,2.6,407
Fort Greene/Brooklyn Hts,2015,2.8,302
Fresh Meadows/Briarwood,2015,2.8,408
Greenwich Village,2015,0.9,102
Howard Beach,2015,4.8,410
Hunts Point,2015,4.2,202
Jackson Heights,2015,4.2,403
Jamaica/St. Albans,2015,6.2,412
Lower East Side,2015,3,103
Midtown Business District,2015,2.3,105
