Name,Child Abuse and Neglect Investigations,,
Location,TimeFrame,Data,Fips
Williamsbridge,2009,1898,212
Williamsbridge,2013,1528,212
Williamsbridge,2014,1562,212
Williamsbridge,2015,1567,212
Williamsbridge,2016,1740,212
Williamsbridge,2011,1711,212
Williamsbridge,2012,1628,212
Williamsbridge,2010,1634,212
Williamsbridge,2017,1774,212
Williamsbridge,2018,1754,212
Williamsbridge,2019,1607,212
Brooklyn,2018,15204,36047
Brooklyn,2019,13978,36047
Brooklyn,2010,17761,36047
Brooklyn,2011,17118,36047
Brooklyn,2012,15866,36047
Brooklyn,2013,14925,36047
Brooklyn,2014,15049,36047
Brooklyn,2015,14728,36047
Brooklyn,2016,15738,36047
Brooklyn,2017,16104,36047
Brooklyn,2002,18272,36047
Brooklyn,2003,16994,36047
Brooklyn,2004,15157,36047
Brooklyn,2005,14395,36047
Brooklyn,2006,19193,36047
Brooklyn,2007,17338,36047
Brooklyn,2008,17672,36047
Brooklyn,2009,18647,36047
Williamsburg/Greenpoint,2010,589,301
Williamsburg/Greenpoint,2012,486,301
