"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
Sheepshead Bay,Households,2007,Number,11703,315
Brownsville,Households,2007,Number,12834,316
East Flatbush,Households,2007,Number,11339,317
Canarsie,Households,2007,Number,8913,318
Astoria,Households,2007,Number,8989,401
Sunnyside/Woodside,Households,2007,Number,4818,402
Jackson Heights,Households,2007,Number,9548,403
Elmhurst/Corona,Households,2007,Number,9986,404
Ridgewood/Glendale,Households,2007,Number,6876,405
Rego Park/Forest Hills,Households,2007,Number,4890,406
Flushing,Households,2007,Number,8826,407
Fresh Meadows/Briarwood,Households,2007,Number,5758,408
Woodhaven,Households,2007,Number,6649,409
Howard Beach,Households,2007,Number,4239,410
Bayside,Households,2007,Number,1986,411
Jamaica/St. Albans,Households,2007,Number,13744,412
Queens Village,Households,2007,Number,5951,413
The Rockaways,Households,2007,Number,9181,414
St. George,Households,2007,Number,11474,501
South Beach,Households,2007,Number,4379,502
Tottenville,Households,2007,Number,2969,503
Bronx,Households,2007,Number,154573,36005
Brooklyn,Households,2007,Number,222137,36047
Manhattan,Households,2007,Number,112993,36061
Queens,Households,2007,Number,101442,36081
Staten Island,Households,2007,Number,18823,36085
New York City,Households,2007,Number,609968,3651000
Battery Park/Tribeca,Households,2009,Number,1576,101
Greenwich Village,Households,2009,Number,3498,102
Lower East Side,Households,2009,Number,21650,103
Chelsea/Clinton,Households,2009,Number,13680,104
Midtown Business District,Households,2009,Number,3128,105
Murray Hill/Stuyvesant,Households,2009,Number,3140,106
Upper West Side,Households,2009,Number,11486,107
Upper East Side,Households,2009,Number,3594,108
Manhattanville,Households,2009,Number,15739,109
Central Harlem,Households,2009,Number,20049,110
East Harlem,Households,2009,Number,24541,111
Washington Heights,Households,2009,Number,34166,112
Mott Haven,Households,2009,Number,22238,201
Hunts Point,Households,2009,Number,10558,202
Morrisania,Households,2009,Number,16733,203
Concourse/Highbridge,Households,2009,Number,29743,204
University Heights,Households,2009,Number,26561,205
East Tremont,Households,2009,Number,17212,206
Bedford Park,Households,2009,Number,23037,207
Riverdale,Households,2009,Number,7879,208
Unionport/Soundview,Households,2009,Number,23773,209
Throgs Neck,Households,2009,Number,7939,210
Pelham Parkway,Households,2009,Number,10929,211
Williamsbridge,Households,2009,Number,16008,212
Williamsburg/Greenpoint,Households,2009,Number,22039,301
Fort Greene/Brooklyn Hts,Households,2009,Number,11575,302
Bedford Stuyvesant,Households,2009,Number,30866,303
Bushwick,Households,2009,Number,22168,304
East New York,Households,2009,Number,33412,305
Park Slope,Households,2009,Number,6610,306
Sunset Park,Households,2009,Number,14037,307
Crown Heights North,Households,2009,Number,14864,308
Crown Heights South,Households,2009,Number,12408,309
Bay Ridge,Households,2009,Number,8296,310
Bensonhurst,Households,2009,Number,18858,311
Borough Park,Households,2009,Number,19378,312
Coney Island,Households,2009,Number,19919,313
Flatbush/Midwood,Households,2009,Number,19376,314
Sheepshead Bay,Households,2009,Number,15410,315
Brownsville,Households,2009,Number,19591,316
East Flatbush,Households,2009,Number,18174,317
Canarsie,Households,2009,Number,14425,318
Astoria,Households,2009,Number,12604,401
Sunnyside/Woodside,Households,2009,Number,6749,402
Jackson Heights,Households,2009,Number,14676,403
Elmhurst/Corona,Households,2009,Number,14239,404
Ridgewood/Glendale,Households,2009,Number,10170,405
Rego Park/Forest Hills,Households,2009,Number,5666,406
Flushing,Households,2009,Number,12241,407
Fresh Meadows/Briarwood,Households,2009,Number,8828,408
Woodhaven,Households,2009,Number,11068,409
Howard Beach,Households,2009,Number,7280,410
Bayside,Households,2009,Number,2903,411
Jamaica/St. Albans,Households,2009,Number,24046,412
Queens Village,Households,2009,Number,10856,413
The Rockaways,Households,2009,Number,14544,414
St. George,Households,2009,Number,18479,501
South Beach,Households,2009,Number,6877,502
Tottenville,Households,2009,Number,4894,503
Bronx,Households,2009,Number,212610,36005
Brooklyn,Households,2009,Number,321408,36047
Manhattan,Households,2009,Number,156247,36061
Queens,Households,2009,Number,155868,36081
Staten Island,Households,2009,Number,30250,36085
New York City,Households,2009,Number,876657,3651000
Battery Park/Tribeca,Households,2011,Number,1938,101
Greenwich Village,Households,2011,Number,3409,102
Lower East Side,Households,2011,Number,29032,103
Chelsea/Clinton,Households,2011,Number,9554,104
Midtown Business District,Households,2011,Number,3489,105
Murray Hill/Stuyvesant,Households,2011,Number,4395,106
Upper West Side,Households,2011,Number,14297,107
Upper East Side,Households,2011,Number,4900,108
Manhattanville,Households,2011,Number,18686,109
Central Harlem,Households,2011,Number,24918,110
East Harlem,Households,2011,Number,28691,111
Washington Heights,Households,2011,Number,41873,112
Mott Haven,Households,2011,Number,25378,201
Hunts Point,Households,2011,Number,12662,202
Morrisania,Households,2011,Number,21044,203
Concourse/Highbridge,Households,2011,Number,35916,204
University Heights,Households,2011,Number,33819,205
East Tremont,Households,2011,Number,20285,206
Bedford Park,Households,2011,Number,28937,207
Riverdale,Households,2011,Number,10541,208
Unionport/Soundview,Households,2011,Number,30260,209
