"Name","SNAP (Food Stamps) by Cash Assistance Receipt"
"Description","Recipients of SNAP by Cash Assistance status.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - CA Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9</a>"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
&nbsp;Percentages presented by Cash Assistance Receipt refer to the number of individuals receiving SNAP.&nbsp;<br />
*CCC is in the process of filling in data for missing years.&nbsp;<br />"

Location,Cash Assistance Receipt,TimeFrame,DataFormat,Data,Fips
South Beach,Receives Cash Assistance,2006,Number,1755,502
Tottenville,Receives Cash Assistance,2006,Number,789,503
Bronx,Receives Cash Assistance,2006,Number,111871,36005
Brooklyn,Receives Cash Assistance,2006,Number,159662,36047
Manhattan,Receives Cash Assistance,2006,Number,67090,36061
Queens,Receives Cash Assistance,2006,Number,62018,36081
Staten Island,Receives Cash Assistance,2006,Number,11711,36085
New York City,Receives Cash Assistance,2006,Number,412354,3651000
Battery Park/Tribeca,Receives Cash Assistance,2007,Number,662,101
Greenwich Village,Receives Cash Assistance,2007,Number,411,102
Lower East Side,Receives Cash Assistance,2007,Number,6552,103
Chelsea/Clinton,Receives Cash Assistance,2007,Number,3184,104
Midtown Business District,Receives Cash Assistance,2007,Number,1385,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2007,Number,732,106
Upper West Side,Receives Cash Assistance,2007,Number,4532,107
Upper East Side,Receives Cash Assistance,2007,Number,768,108
Manhattanville,Receives Cash Assistance,2007,Number,8027,109
Central Harlem,Receives Cash Assistance,2007,Number,10498,110
East Harlem,Receives Cash Assistance,2007,Number,13376,111
Washington Heights,Receives Cash Assistance,2007,Number,11626,112
Mott Haven,Receives Cash Assistance,2007,Number,10658,201
Hunts Point,Receives Cash Assistance,2007,Number,5695,202
Morrisania,Receives Cash Assistance,2007,Number,8767,203
Concourse/Highbridge,Receives Cash Assistance,2007,Number,14990,204
University Heights,Receives Cash Assistance,2007,Number,15200,205
East Tremont,Receives Cash Assistance,2007,Number,10860,206
Bedford Park,Receives Cash Assistance,2007,Number,11178,207
Riverdale,Receives Cash Assistance,2007,Number,2457,208
Unionport/Soundview,Receives Cash Assistance,2007,Number,11253,209
Throgs Neck,Receives Cash Assistance,2007,Number,2135,210
Pelham Parkway,Receives Cash Assistance,2007,Number,4057,211
Williamsbridge,Receives Cash Assistance,2007,Number,8138,212
Williamsburg/Greenpoint,Receives Cash Assistance,2007,Number,7195,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2007,Number,4381,302
Bedford Stuyvesant,Receives Cash Assistance,2007,Number,19663,303
Bushwick,Receives Cash Assistance,2007,Number,13560,304
East New York,Receives Cash Assistance,2007,Number,21119,305
Park Slope,Receives Cash Assistance,2007,Number,3189,306
Sunset Park,Receives Cash Assistance,2007,Number,4533,307
Crown Heights North,Receives Cash Assistance,2007,Number,10047,308
Crown Heights South,Receives Cash Assistance,2007,Number,5859,309
Bay Ridge,Receives Cash Assistance,2007,Number,1982,310
Bensonhurst,Receives Cash Assistance,2007,Number,3499,311
Borough Park,Receives Cash Assistance,2007,Number,4741,312
Coney Island,Receives Cash Assistance,2007,Number,5467,313
Flatbush/Midwood,Receives Cash Assistance,2007,Number,8296,314
Sheepshead Bay,Receives Cash Assistance,2007,Number,3316,315
Brownsville,Receives Cash Assistance,2007,Number,14996,316
East Flatbush,Receives Cash Assistance,2007,Number,9092,317
Canarsie,Receives Cash Assistance,2007,Number,5815,318
Astoria,Receives Cash Assistance,2007,Number,5272,401
Sunnyside/Woodside,Receives Cash Assistance,2007,Number,1803,402
Jackson Heights,Receives Cash Assistance,2007,Number,4343,403
Elmhurst/Corona,Receives Cash Assistance,2007,Number,3793,404
Ridgewood/Glendale,Receives Cash Assistance,2007,Number,3698,405
Rego Park/Forest Hills,Receives Cash Assistance,2007,Number,1200,406
Flushing,Receives Cash Assistance,2007,Number,2858,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2007,Number,3453,408
Woodhaven,Receives Cash Assistance,2007,Number,4388,409
Howard Beach,Receives Cash Assistance,2007,Number,2660,410
Bayside,Receives Cash Assistance,2007,Number,574,411
Jamaica/St. Albans,Receives Cash Assistance,2007,Number,11856,412
Queens Village,Receives Cash Assistance,2007,Number,4616,413
The Rockaways,Receives Cash Assistance,2007,Number,8965,414
St. George,Receives Cash Assistance,2007,Number,9594,501
South Beach,Receives Cash Assistance,2007,Number,1693,502
Tottenville,Receives Cash Assistance,2007,Number,817,503
Bronx,Receives Cash Assistance,2007,Number,105388,36005
Brooklyn,Receives Cash Assistance,2007,Number,146750,36047
Manhattan,Receives Cash Assistance,2007,Number,61753,36061
Queens,Receives Cash Assistance,2007,Number,59479,36081
Staten Island,Receives Cash Assistance,2007,Number,12104,36085
New York City,Receives Cash Assistance,2007,Number,385474,3651000
Battery Park/Tribeca,Receives Cash Assistance,2009,Number,638,101
Greenwich Village,Receives Cash Assistance,2009,Number,411,102
Lower East Side,Receives Cash Assistance,2009,Number,6495,103
Chelsea/Clinton,Receives Cash Assistance,2009,Number,3520,104
Midtown Business District,Receives Cash Assistance,2009,Number,1471,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2009,Number,791,106
Upper West Side,Receives Cash Assistance,2009,Number,4430,107
Upper East Side,Receives Cash Assistance,2009,Number,745,108
Manhattanville,Receives Cash Assistance,2009,Number,7139,109
Central Harlem,Receives Cash Assistance,2009,Number,9957,110
East Harlem,Receives Cash Assistance,2009,Number,12101,111
Washington Heights,Receives Cash Assistance,2009,Number,9923,112
Mott Haven,Receives Cash Assistance,2009,Number,11472,201
Hunts Point,Receives Cash Assistance,2009,Number,6598,202
Morrisania,Receives Cash Assistance,2009,Number,10108,203
Concourse/Highbridge,Receives Cash Assistance,2009,Number,16978,204
University Heights,Receives Cash Assistance,2009,Number,16583,205
East Tremont,Receives Cash Assistance,2009,Number,12084,206
Bedford Park,Receives Cash Assistance,2009,Number,12438,207
Riverdale,Receives Cash Assistance,2009,Number,2666,208
Unionport/Soundview,Receives Cash Assistance,2009,Number,12835,209
Throgs Neck,Receives Cash Assistance,2009,Number,2738,210
Pelham Parkway,Receives Cash Assistance,2009,Number,4739,211
Williamsbridge,Receives Cash Assistance,2009,Number,9966,212
