"Name","SNAP (Food Stamps) by Cash Assistance Receipt"
"Description","Recipients of SNAP by Cash Assistance status.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - CA Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9</a>"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
&nbsp;Percentages presented by Cash Assistance Receipt refer to the number of individuals receiving SNAP.&nbsp;<br />
*CCC is in the process of filling in data for missing years.&nbsp;<br />"

Location,Cash Assistance Receipt,TimeFrame,DataFormat,Data,Fips
Upper East Side,Does not receive Cash Assistance,2006,Percent,0.75202,108
Manhattanville,Does not receive Cash Assistance,2006,Percent,0.58796,109
Central Harlem,Does not receive Cash Assistance,2006,Percent,0.55431,110
East Harlem,Does not receive Cash Assistance,2006,Percent,0.53708,111
Washington Heights,Does not receive Cash Assistance,2006,Percent,0.70498,112
Mott Haven,Does not receive Cash Assistance,2006,Percent,0.48399,201
Hunts Point,Does not receive Cash Assistance,2006,Percent,0.50305,202
Morrisania,Does not receive Cash Assistance,2006,Percent,0.46638,203
Concourse/Highbridge,Does not receive Cash Assistance,2006,Percent,0.49147,204
University Heights,Does not receive Cash Assistance,2006,Percent,0.46134,205
East Tremont,Does not receive Cash Assistance,2006,Percent,0.40817,206
Bedford Park,Does not receive Cash Assistance,2006,Percent,0.48457,207
Riverdale,Does not receive Cash Assistance,2006,Percent,0.61646,208
Unionport/Soundview,Does not receive Cash Assistance,2006,Percent,0.49719,209
Throgs Neck,Does not receive Cash Assistance,2006,Percent,0.64048,210
Pelham Parkway,Does not receive Cash Assistance,2006,Percent,0.55888,211
Williamsbridge,Does not receive Cash Assistance,2006,Percent,0.42525,212
Williamsburg/Greenpoint,Does not receive Cash Assistance,2006,Percent,0.81696,301
Fort Greene/Brooklyn Hts,Does not receive Cash Assistance,2006,Percent,0.58274,302
Bedford Stuyvesant,Does not receive Cash Assistance,2006,Percent,0.52953,303
Bushwick,Does not receive Cash Assistance,2006,Percent,0.58463,304
East New York,Does not receive Cash Assistance,2006,Percent,0.55795,305
Park Slope,Does not receive Cash Assistance,2006,Percent,0.63705,306
Sunset Park,Does not receive Cash Assistance,2006,Percent,0.74591,307
Crown Heights North,Does not receive Cash Assistance,2006,Percent,0.50616,308
Crown Heights South,Does not receive Cash Assistance,2006,Percent,0.64121,309
Bay Ridge,Does not receive Cash Assistance,2006,Percent,0.80581,310
Bensonhurst,Does not receive Cash Assistance,2006,Percent,0.86414,311
Borough Park,Does not receive Cash Assistance,2006,Percent,0.88071,312
Coney Island,Does not receive Cash Assistance,2006,Percent,0.78402,313
Flatbush/Midwood,Does not receive Cash Assistance,2006,Percent,0.67603,314
Sheepshead Bay,Does not receive Cash Assistance,2006,Percent,0.83455,315
Brownsville,Does not receive Cash Assistance,2006,Percent,0.47253,316
East Flatbush,Does not receive Cash Assistance,2006,Percent,0.57475,317
Canarsie,Does not receive Cash Assistance,2006,Percent,0.65337,318
Astoria,Does not receive Cash Assistance,2006,Percent,0.69389,401
Sunnyside/Woodside,Does not receive Cash Assistance,2006,Percent,0.78545,402
Jackson Heights,Does not receive Cash Assistance,2006,Percent,0.7711,403
Elmhurst/Corona,Does not receive Cash Assistance,2006,Percent,0.79188,404
Ridgewood/Glendale,Does not receive Cash Assistance,2006,Percent,0.73013,405
Rego Park/Forest Hills,Does not receive Cash Assistance,2006,Percent,0.84131,406
Flushing,Does not receive Cash Assistance,2006,Percent,0.81461,407
Fresh Meadows/Briarwood,Does not receive Cash Assistance,2006,Percent,0.66165,408
Woodhaven,Does not receive Cash Assistance,2006,Percent,0.67306,409
Howard Beach,Does not receive Cash Assistance,2006,Percent,0.6648,410
Bayside,Does not receive Cash Assistance,2006,Percent,0.84059,411
Jamaica/St. Albans,Does not receive Cash Assistance,2006,Percent,0.56923,412
Queens Village,Does not receive Cash Assistance,2006,Percent,0.58368,413
The Rockaways,Does not receive Cash Assistance,2006,Percent,0.58149,414
St. George,Does not receive Cash Assistance,2006,Percent,0.52046,501
South Beach,Does not receive Cash Assistance,2006,Percent,0.73312,502
Tottenville,Does not receive Cash Assistance,2006,Percent,0.80685,503
Bronx,Does not receive Cash Assistance,2006,Percent,0.61866,36005
Brooklyn,Does not receive Cash Assistance,2006,Percent,0.61866,36047
Manhattan,Does not receive Cash Assistance,2006,Percent,0.61866,36061
Queens,Does not receive Cash Assistance,2006,Percent,0.61866,36081
Staten Island,Does not receive Cash Assistance,2006,Percent,0.61866,36085
New York City,Does not receive Cash Assistance,2006,Percent,0.61866,3651000
Battery Park/Tribeca,Does not receive Cash Assistance,2007,Percent,0.56304,101
Greenwich Village,Does not receive Cash Assistance,2007,Percent,0.87385,102
Lower East Side,Does not receive Cash Assistance,2007,Percent,0.7436,103
Chelsea/Clinton,Does not receive Cash Assistance,2007,Percent,0.68772,104
Midtown Business District,Does not receive Cash Assistance,2007,Percent,0.52455,105
Murray Hill/Stuyvesant,Does not receive Cash Assistance,2007,Percent,0.73255,106
Upper West Side,Does not receive Cash Assistance,2007,Percent,0.62657,107
Upper East Side,Does not receive Cash Assistance,2007,Percent,0.76607,108
Manhattanville,Does not receive Cash Assistance,2007,Percent,0.60306,109
Central Harlem,Does not receive Cash Assistance,2007,Percent,0.56611,110
East Harlem,Does not receive Cash Assistance,2007,Percent,0.55024,111
Washington Heights,Does not receive Cash Assistance,2007,Percent,0.73039,112
Mott Haven,Does not receive Cash Assistance,2007,Percent,0.65942,201
Hunts Point,Does not receive Cash Assistance,2007,Percent,0.65695,202
Morrisania,Does not receive Cash Assistance,2007,Percent,0.64137,203
Concourse/Highbridge,Does not receive Cash Assistance,2007,Percent,0.65666,204
University Heights,Does not receive Cash Assistance,2007,Percent,0.63031,205
East Tremont,Does not receive Cash Assistance,2007,Percent,0.57881,206
Bedford Park,Does not receive Cash Assistance,2007,Percent,0.66198,207
Riverdale,Does not receive Cash Assistance,2007,Percent,0.77763,208
Unionport/Soundview,Does not receive Cash Assistance,2007,Percent,0.66565,209
Throgs Neck,Does not receive Cash Assistance,2007,Percent,0.77016,210
Pelham Parkway,Does not receive Cash Assistance,2007,Percent,0.70863,211
Williamsbridge,Does not receive Cash Assistance,2007,Percent,0.61924,212
Williamsburg/Greenpoint,Does not receive Cash Assistance,2007,Percent,0.81432,301
Fort Greene/Brooklyn Hts,Does not receive Cash Assistance,2007,Percent,0.58129,302
Bedford Stuyvesant,Does not receive Cash Assistance,2007,Percent,0.51393,303
Bushwick,Does not receive Cash Assistance,2007,Percent,0.56486,304
East New York,Does not receive Cash Assistance,2007,Percent,0.53796,305
Park Slope,Does not receive Cash Assistance,2007,Percent,0.61945,306
Sunset Park,Does not receive Cash Assistance,2007,Percent,0.74051,307
Crown Heights North,Does not receive Cash Assistance,2007,Percent,0.48519,308
Crown Heights South,Does not receive Cash Assistance,2007,Percent,0.61314,309
Bay Ridge,Does not receive Cash Assistance,2007,Percent,0.78768,310
Bensonhurst,Does not receive Cash Assistance,2007,Percent,0.83938,311
Borough Park,Does not receive Cash Assistance,2007,Percent,0.87256,312
Coney Island,Does not receive Cash Assistance,2007,Percent,0.76509,313
Flatbush/Midwood,Does not receive Cash Assistance,2007,Percent,0.66118,314
Sheepshead Bay,Does not receive Cash Assistance,2007,Percent,0.81929,315
Brownsville,Does not receive Cash Assistance,2007,Percent,0.45096,316
East Flatbush,Does not receive Cash Assistance,2007,Percent,0.55119,317
Canarsie,Does not receive Cash Assistance,2007,Percent,0.63704,318
Astoria,Does not receive Cash Assistance,2007,Percent,0.6632,401
Sunnyside/Woodside,Does not receive Cash Assistance,2007,Percent,0.75779,402
Jackson Heights,Does not receive Cash Assistance,2007,Percent,0.73132,403
Elmhurst/Corona,Does not receive Cash Assistance,2007,Percent,0.77136,404
Ridgewood/Glendale,Does not receive Cash Assistance,2007,Percent,0.69888,405
Rego Park/Forest Hills,Does not receive Cash Assistance,2007,Percent,0.82392,406
Flushing,Does not receive Cash Assistance,2007,Percent,0.7767,407
Fresh Meadows/Briarwood,Does not receive Cash Assistance,2007,Percent,0.62488,408
Woodhaven,Does not receive Cash Assistance,2007,Percent,0.636,409
Howard Beach,Does not receive Cash Assistance,2007,Percent,0.63436,410
Bayside,Does not receive Cash Assistance,2007,Percent,0.78158,411
Jamaica/St. Albans,Does not receive Cash Assistance,2007,Percent,0.52424,412
Queens Village,Does not receive Cash Assistance,2007,Percent,0.53369,413
The Rockaways,Does not receive Cash Assistance,2007,Percent,0.51687,414
St. George,Does not receive Cash Assistance,2007,Percent,0.58044,501
South Beach,Does not receive Cash Assistance,2007,Percent,0.77106,502
Tottenville,Does not receive Cash Assistance,2007,Percent,0.82972,503
Bronx,Does not receive Cash Assistance,2007,Percent,0.65476,36005
Brooklyn,Does not receive Cash Assistance,2007,Percent,0.65476,36047
Manhattan,Does not receive Cash Assistance,2007,Percent,0.65476,36061
Queens,Does not receive Cash Assistance,2007,Percent,0.65476,36081
Staten Island,Does not receive Cash Assistance,2007,Percent,0.65476,36085
New York City,Does not receive Cash Assistance,2007,Percent,0.65476,3651000
Battery Park/Tribeca,Does not receive Cash Assistance,2009,Percent,0.68969,101
Greenwich Village,Does not receive Cash Assistance,2009,Percent,0.91194,102
Lower East Side,Does not receive Cash Assistance,2009,Percent,0.82579,103
Chelsea/Clinton,Does not receive Cash Assistance,2009,Percent,0.79983,104
Midtown Business District,Does not receive Cash Assistance,2009,Percent,0.61023,105
Murray Hill/Stuyvesant,Does not receive Cash Assistance,2009,Percent,0.80726,106
Upper West Side,Does not receive Cash Assistance,2009,Percent,0.73653,107
Upper East Side,Does not receive Cash Assistance,2009,Percent,0.85209,108
Manhattanville,Does not receive Cash Assistance,2009,Percent,0.74478,109
Central Harlem,Does not receive Cash Assistance,2009,Percent,0.72062,110
East Harlem,Does not receive Cash Assistance,2009,Percent,0.72131,111
Washington Heights,Does not receive Cash Assistance,2009,Percent,0.83652,112
Mott Haven,Does not receive Cash Assistance,2009,Percent,0.70448,201
Hunts Point,Does not receive Cash Assistance,2009,Percent,0.66796,202
Morrisania,Does not receive Cash Assistance,2009,Percent,0.67864,203
Concourse/Highbridge,Does not receive Cash Assistance,2009,Percent,0.68345,204
University Heights,Does not receive Cash Assistance,2009,Percent,0.6658,205
East Tremont,Does not receive Cash Assistance,2009,Percent,0.62849,206
Bedford Park,Does not receive Cash Assistance,2009,Percent,0.7053,207
Riverdale,Does not receive Cash Assistance,2009,Percent,0.80563,208
Unionport/Soundview,Does not receive Cash Assistance,2009,Percent,0.71238,209
Throgs Neck,Does not receive Cash Assistance,2009,Percent,0.78749,210
Pelham Parkway,Does not receive Cash Assistance,2009,Percent,0.75358,211
Williamsbridge,Does not receive Cash Assistance,2009,Percent,0.67325,212
Williamsburg/Greenpoint,Does not receive Cash Assistance,2009,Percent,0.88883,301
Fort Greene/Brooklyn Hts,Does not receive Cash Assistance,2009,Percent,0.77542,302
Bedford Stuyvesant,Does not receive Cash Assistance,2009,Percent,0.71518,303
Bushwick,Does not receive Cash Assistance,2009,Percent,0.75763,304
East New York,Does not receive Cash Assistance,2009,Percent,0.7334,305
Park Slope,Does not receive Cash Assistance,2009,Percent,0.81215,306
Sunset Park,Does not receive Cash Assistance,2009,Percent,0.86,307
Crown Heights North,Does not receive Cash Assistance,2009,Percent,0.69176,308
Crown Heights South,Does not receive Cash Assistance,2009,Percent,0.78179,309
Bay Ridge,Does not receive Cash Assistance,2009,Percent,0.88023,310
Bensonhurst,Does not receive Cash Assistance,2009,Percent,0.9092,311
Borough Park,Does not receive Cash Assistance,2009,Percent,0.92752,312
Coney Island,Does not receive Cash Assistance,2009,Percent,0.86057,313
Flatbush/Midwood,Does not receive Cash Assistance,2009,Percent,0.80832,314
Sheepshead Bay,Does not receive Cash Assistance,2009,Percent,0.89446,315
Brownsville,Does not receive Cash Assistance,2009,Percent,0.6476,316
East Flatbush,Does not receive Cash Assistance,2009,Percent,0.74868,317
Canarsie,Does not receive Cash Assistance,2009,Percent,0.80514,318
Astoria,Does not receive Cash Assistance,2009,Percent,0.67461,401
Sunnyside/Woodside,Does not receive Cash Assistance,2009,Percent,0.75548,402
Jackson Heights,Does not receive Cash Assistance,2009,Percent,0.7523,403
Elmhurst/Corona,Does not receive Cash Assistance,2009,Percent,0.77581,404
Ridgewood/Glendale,Does not receive Cash Assistance,2009,Percent,0.72612,405
Rego Park/Forest Hills,Does not receive Cash Assistance,2009,Percent,0.82362,406
Flushing,Does not receive Cash Assistance,2009,Percent,0.78202,407
Fresh Meadows/Briarwood,Does not receive Cash Assistance,2009,Percent,0.64197,408
Woodhaven,Does not receive Cash Assistance,2009,Percent,0.67761,409
Howard Beach,Does not receive Cash Assistance,2009,Percent,0.6584,410
Bayside,Does not receive Cash Assistance,2009,Percent,0.78818,411
Jamaica/St. Albans,Does not receive Cash Assistance,2009,Percent,0.56091,412
Queens Village,Does not receive Cash Assistance,2009,Percent,0.58356,413
The Rockaways,Does not receive Cash Assistance,2009,Percent,0.5343,414
St. George,Does not receive Cash Assistance,2009,Percent,0.67174,501
South Beach,Does not receive Cash Assistance,2009,Percent,0.83137,502
Tottenville,Does not receive Cash Assistance,2009,Percent,0.89128,503
Bronx,Does not receive Cash Assistance,2009,Percent,0.69363,36005
Brooklyn,Does not receive Cash Assistance,2009,Percent,0.8024,36047
Manhattan,Does not receive Cash Assistance,2009,Percent,0.77757,36061
Queens,Does not receive Cash Assistance,2009,Percent,0.66967,36081
Staten Island,Does not receive Cash Assistance,2009,Percent,0.73934,36085
New York City,Does not receive Cash Assistance,2009,Percent,0.74567,3651000
Battery Park/Tribeca,Does not receive Cash Assistance,2011,Percent,0.72534,101
Greenwich Village,Does not receive Cash Assistance,2011,Percent,0.90883,102
Lower East Side,Does not receive Cash Assistance,2011,Percent,0.85226,103
Chelsea/Clinton,Does not receive Cash Assistance,2011,Percent,0.81039,104
Midtown Business District,Does not receive Cash Assistance,2011,Percent,0.67603,105
Murray Hill/Stuyvesant,Does not receive Cash Assistance,2011,Percent,0.83458,106
Upper West Side,Does not receive Cash Assistance,2011,Percent,0.79092,107
Upper East Side,Does not receive Cash Assistance,2011,Percent,0.87573,108
Manhattanville,Does not receive Cash Assistance,2011,Percent,0.78328,109
Central Harlem,Does not receive Cash Assistance,2011,Percent,0.74459,110
East Harlem,Does not receive Cash Assistance,2011,Percent,0.76064,111
Washington Heights,Does not receive Cash Assistance,2011,Percent,0.73439,112
Mott Haven,Does not receive Cash Assistance,2011,Percent,0.77973,201
Hunts Point,Does not receive Cash Assistance,2011,Percent,0.74484,202
Morrisania,Does not receive Cash Assistance,2011,Percent,0.76826,203
Concourse/Highbridge,Does not receive Cash Assistance,2011,Percent,0.77906,204
University Heights,Does not receive Cash Assistance,2011,Percent,0.76587,205
East Tremont,Does not receive Cash Assistance,2011,Percent,0.70461,206
Bedford Park,Does not receive Cash Assistance,2011,Percent,0.7867,207
Riverdale,Does not receive Cash Assistance,2011,Percent,0.85822,208
Unionport/Soundview,Does not receive Cash Assistance,2011,Percent,0.79317,209
Throgs Neck,Does not receive Cash Assistance,2011,Percent,0.85058,210
Pelham Parkway,Does not receive Cash Assistance,2011,Percent,0.82145,211
Williamsbridge,Does not receive Cash Assistance,2011,Percent,0.75894,212
Williamsburg/Greenpoint,Does not receive Cash Assistance,2011,Percent,0.90667,301
Fort Greene/Brooklyn Hts,Does not receive Cash Assistance,2011,Percent,0.7963,302
Bedford Stuyvesant,Does not receive Cash Assistance,2011,Percent,0.75283,303
Bushwick,Does not receive Cash Assistance,2011,Percent,0.7903,304
East New York,Does not receive Cash Assistance,2011,Percent,0.77445,305
Park Slope,Does not receive Cash Assistance,2011,Percent,0.84875,306
Sunset Park,Does not receive Cash Assistance,2011,Percent,0.89033,307
Crown Heights North,Does not receive Cash Assistance,2011,Percent,0.73744,308
Crown Heights South,Does not receive Cash Assistance,2011,Percent,0.82308,309
Bay Ridge,Does not receive Cash Assistance,2011,Percent,0.90494,310
Bensonhurst,Does not receive Cash Assistance,2011,Percent,0.92264,311
Borough Park,Does not receive Cash Assistance,2011,Percent,0.90903,312
Coney Island,Does not receive Cash Assistance,2011,Percent,0.87699,313
Flatbush/Midwood,Does not receive Cash Assistance,2011,Percent,0.83937,314
Sheepshead Bay,Does not receive Cash Assistance,2011,Percent,0.91155,315
Brownsville,Does not receive Cash Assistance,2011,Percent,0.69965,316
East Flatbush,Does not receive Cash Assistance,2011,Percent,0.78504,317
Canarsie,Does not receive Cash Assistance,2011,Percent,0.84599,318
Astoria,Does not receive Cash Assistance,2011,Percent,0.65678,401
Sunnyside/Woodside,Does not receive Cash Assistance,2011,Percent,0.72539,402
Jackson Heights,Does not receive Cash Assistance,2011,Percent,0.7258,403
Elmhurst/Corona,Does not receive Cash Assistance,2011,Percent,0.7485,404
Ridgewood/Glendale,Does not receive Cash Assistance,2011,Percent,0.70222,405
Rego Park/Forest Hills,Does not receive Cash Assistance,2011,Percent,0.79838,406
Flushing,Does not receive Cash Assistance,2011,Percent,0.75148,407
Fresh Meadows/Briarwood,Does not receive Cash Assistance,2011,Percent,0.62036,408
Woodhaven,Does not receive Cash Assistance,2011,Percent,0.6506,409
Howard Beach,Does not receive Cash Assistance,2011,Percent,0.68021,410
Bayside,Does not receive Cash Assistance,2011,Percent,0.73489,411
Jamaica/St. Albans,Does not receive Cash Assistance,2011,Percent,0.52292,412
Queens Village,Does not receive Cash Assistance,2011,Percent,0.53555,413
The Rockaways,Does not receive Cash Assistance,2011,Percent,0.50174,414
St. George,Does not receive Cash Assistance,2011,Percent,0.71415,501
South Beach,Does not receive Cash Assistance,2011,Percent,0.85966,502
Tottenville,Does not receive Cash Assistance,2011,Percent,0.92096,503
Bronx,Does not receive Cash Assistance,2011,Percent,0.77743,36005
Brooklyn,Does not receive Cash Assistance,2011,Percent,0.83276,36047
Manhattan,Does not receive Cash Assistance,2011,Percent,0.80512,36061
Queens,Does not receive Cash Assistance,2011,Percent,0.64284,36081
Staten Island,Does not receive Cash Assistance,2011,Percent,0.77998,36085
New York City,Does not receive Cash Assistance,2011,Percent,0.78181,3651000
Mott Haven,Receives Cash Assistance,2016,Number,15512,201
Hunts Point,Receives Cash Assistance,2016,Number,8290,202
Morrisania,Receives Cash Assistance,2016,Number,15048,203
Concourse/Highbridge,Receives Cash Assistance,2016,Number,19543,204
University Heights,Receives Cash Assistance,2016,Number,20781,205
East Tremont,Receives Cash Assistance,2016,Number,16394,206
Bedford Park,Receives Cash Assistance,2016,Number,15017,207
Riverdale,Receives Cash Assistance,2016,Number,3602,208
Unionport/Soundview,Receives Cash Assistance,2016,Number,16148,209
Throgs Neck,Receives Cash Assistance,2016,Number,3969,210
Pelham Parkway,Receives Cash Assistance,2016,Number,6660,211
Williamsbridge,Receives Cash Assistance,2016,Number,13869,212
Williamsburg/Greenpoint,Receives Cash Assistance,2016,Number,7390,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2016,Number,3781,302
Bedford Stuyvesant,Receives Cash Assistance,2016,Number,12956,303
Bushwick,Receives Cash Assistance,2016,Number,6285,304
East New York,Receives Cash Assistance,2016,Number,17845,305
Park Slope,Receives Cash Assistance,2016,Number,2155,306
Sunset Park,Receives Cash Assistance,2016,Number,3378,307
Crown Heights North,Receives Cash Assistance,2016,Number,6742,308
Crown Heights South,Receives Cash Assistance,2016,Number,4310,309
Bay Ridge,Receives Cash Assistance,2016,Number,2138,310
Bensonhurst,Receives Cash Assistance,2016,Number,3364,311
Borough Park,Receives Cash Assistance,2016,Number,11533,312
Coney Island,Receives Cash Assistance,2016,Number,5749,313
Flatbush/Midwood,Receives Cash Assistance,2016,Number,5762,314
Sheepshead Bay,Receives Cash Assistance,2016,Number,3494,315
Brownsville,Receives Cash Assistance,2016,Number,13977,316
East Flatbush,Receives Cash Assistance,2016,Number,9086,317
Canarsie,Receives Cash Assistance,2016,Number,6588,318
Battery Park/Tribeca,Receives Cash Assistance,2016,Number,569,101
Greenwich Village,Receives Cash Assistance,2016,Number,321,102
Lower East Side,Receives Cash Assistance,2016,Number,7039,103
Chelsea/Clinton,Receives Cash Assistance,2016,Number,2643,104
Midtown Business District,Receives Cash Assistance,2016,Number,1288,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2016,Number,1221,106
Upper West Side,Receives Cash Assistance,2016,Number,4163,107
Upper East Side,Receives Cash Assistance,2016,Number,867,108
Manhattanville,Receives Cash Assistance,2016,Number,6165,109
Central Harlem,Receives Cash Assistance,2016,Number,10922,110
East Harlem,Receives Cash Assistance,2016,Number,12553,111
Washington Heights,Receives Cash Assistance,2016,Number,8034,112
Astoria,Receives Cash Assistance,2016,Number,4431,401
Sunnyside/Woodside,Receives Cash Assistance,2016,Number,1397,402
Jackson Heights,Receives Cash Assistance,2016,Number,3336,403
Elmhurst/Corona,Receives Cash Assistance,2016,Number,3210,404
Ridgewood/Glendale,Receives Cash Assistance,2016,Number,2418,405
Rego Park/Forest Hills,Receives Cash Assistance,2016,Number,902,406
Flushing,Receives Cash Assistance,2016,Number,3313,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2016,Number,3505,408
Woodhaven,Receives Cash Assistance,2016,Number,3509,409
Howard Beach,Receives Cash Assistance,2016,Number,2460,410
Bayside,Receives Cash Assistance,2016,Number,714,411
Jamaica/St. Albans,Receives Cash Assistance,2016,Number,11951,412
Queens Village,Receives Cash Assistance,2016,Number,4371,413
The Rockaways,Receives Cash Assistance,2016,Number,9603,414
St. George,Receives Cash Assistance,2016,Number,13472,501
South Beach,Receives Cash Assistance,2016,Number,2328,502
Tottenville,Receives Cash Assistance,2016,Number,1273,503
Mott Haven,Does not receive Cash Assistance,2016,Number,30997,201
Hunts Point,Does not receive Cash Assistance,2016,Number,14926,202
Morrisania,Does not receive Cash Assistance,2016,Number,27243,203
Concourse/Highbridge,Does not receive Cash Assistance,2016,Number,41324,204
University Heights,Does not receive Cash Assistance,2016,Number,38808,205
East Tremont,Does not receive Cash Assistance,2016,Number,23673,206
Bedford Park,Does not receive Cash Assistance,2016,Number,34140,207
Riverdale,Does not receive Cash Assistance,2016,Number,13216,208
Unionport/Soundview,Does not receive Cash Assistance,2016,Number,38804,209
Throgs Neck,Does not receive Cash Assistance,2016,Number,13474,210
Pelham Parkway,Does not receive Cash Assistance,2016,Number,18200,211
Williamsbridge,Does not receive Cash Assistance,2016,Number,23888,212
Williamsburg/Greenpoint,Does not receive Cash Assistance,2016,Number,46950,301
Fort Greene/Brooklyn Hts,Does not receive Cash Assistance,2016,Number,10448,302
Bedford Stuyvesant,Does not receive Cash Assistance,2016,Number,35114,303
Bushwick,Does not receive Cash Assistance,2016,Number,22386,304
East New York,Does not receive Cash Assistance,2016,Number,47078,305
Park Slope,Does not receive Cash Assistance,2016,Number,8136,306
Sunset Park,Does not receive Cash Assistance,2016,Number,22378,307
Crown Heights North,Does not receive Cash Assistance,2016,Number,15651,308
Crown Heights South,Does not receive Cash Assistance,2016,Number,17399,309
Bay Ridge,Does not receive Cash Assistance,2016,Number,16143,310
Bensonhurst,Does not receive Cash Assistance,2016,Number,35667,311
Borough Park,Does not receive Cash Assistance,2016,Number,54649,312
Coney Island,Does not receive Cash Assistance,2016,Number,27562,313
Flatbush/Midwood,Does not receive Cash Assistance,2016,Number,28803,314
Sheepshead Bay,Does not receive Cash Assistance,2016,Number,25654,315
Brownsville,Does not receive Cash Assistance,2016,Number,23263,316
East Flatbush,Does not receive Cash Assistance,2016,Number,23156,317
Canarsie,Does not receive Cash Assistance,2016,Number,21930,318
Battery Park/Tribeca,Does not receive Cash Assistance,2016,Number,1438,101
Greenwich Village,Does not receive Cash Assistance,2016,Number,2892,102
Lower East Side,Does not receive Cash Assistance,2016,Number,31648,103
Chelsea/Clinton,Does not receive Cash Assistance,2016,Number,8627,104
Midtown Business District,Does not receive Cash Assistance,2016,Number,2121,105
Murray Hill/Stuyvesant,Does not receive Cash Assistance,2016,Number,3744,106
Upper West Side,Does not receive Cash Assistance,2016,Number,12450,107
Upper East Side,Does not receive Cash Assistance,2016,Number,4688,108
Manhattanville,Does not receive Cash Assistance,2016,Number,17271,109
Central Harlem,Does not receive Cash Assistance,2016,Number,24475,110
East Harlem,Does not receive Cash Assistance,2016,Number,31716,111
Washington Heights,Does not receive Cash Assistance,2016,Number,42435,112
Astoria,Does not receive Cash Assistance,2016,Number,18523,401
Sunnyside/Woodside,Does not receive Cash Assistance,2016,Number,9835,402
Jackson Heights,Does not receive Cash Assistance,2016,Number,25258,403
Elmhurst/Corona,Does not receive Cash Assistance,2016,Number,25560,404
Ridgewood/Glendale,Does not receive Cash Assistance,2016,Number,17490,405
Rego Park/Forest Hills,Does not receive Cash Assistance,2016,Number,9521,406
Flushing,Does not receive Cash Assistance,2016,Number,23569,407
Fresh Meadows/Briarwood,Does not receive Cash Assistance,2016,Number,14470,408
Woodhaven,Does not receive Cash Assistance,2016,Number,19713,409
Howard Beach,Does not receive Cash Assistance,2016,Number,13762,410
Bayside,Does not receive Cash Assistance,2016,Number,5611,411
Jamaica/St. Albans,Does not receive Cash Assistance,2016,Number,34227,412
Queens Village,Does not receive Cash Assistance,2016,Number,15146,413
The Rockaways,Does not receive Cash Assistance,2016,Number,20617,414
St. George,Does not receive Cash Assistance,2016,Number,25612,501
South Beach,Does not receive Cash Assistance,2016,Number,11426,502
Tottenville,Does not receive Cash Assistance,2016,Number,8542,503
Mott Haven,Receives Cash Assistance,2016,Percent,0.33353,201
Hunts Point,Receives Cash Assistance,2016,Percent,0.35708,202
Morrisania,Receives Cash Assistance,2016,Percent,0.35582,203
Concourse/Highbridge,Receives Cash Assistance,2016,Percent,0.32108,204
University Heights,Receives Cash Assistance,2016,Percent,0.34874,205
East Tremont,Receives Cash Assistance,2016,Percent,0.40916,206
Bedford Park,Receives Cash Assistance,2016,Percent,0.30549,207
Riverdale,Receives Cash Assistance,2016,Percent,0.21418,208
Unionport/Soundview,Receives Cash Assistance,2016,Percent,0.29386,209
Throgs Neck,Receives Cash Assistance,2016,Percent,0.22754,210
Pelham Parkway,Receives Cash Assistance,2016,Percent,0.2679,211
Williamsbridge,Receives Cash Assistance,2016,Percent,0.36732,212
Williamsburg/Greenpoint,Receives Cash Assistance,2016,Percent,0.136,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2016,Percent,0.26572,302
Bedford Stuyvesant,Receives Cash Assistance,2016,Percent,0.26952,303
Bushwick,Receives Cash Assistance,2016,Percent,0.21921,304
East New York,Receives Cash Assistance,2016,Percent,0.27486,305
Park Slope,Receives Cash Assistance,2016,Percent,0.20941,306
Sunset Park,Receives Cash Assistance,2016,Percent,0.13115,307
Crown Heights North,Receives Cash Assistance,2016,Percent,0.30108,308
Crown Heights South,Receives Cash Assistance,2016,Percent,0.19854,309
Bay Ridge,Receives Cash Assistance,2016,Percent,0.11695,310
Bensonhurst,Receives Cash Assistance,2016,Percent,0.08619,311
