"Name","Children Under 6 Years with Elevated Blood Lead Levels (BLL)"
"Description","<g class=""gr_ gr_4 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""4"" data-gr-id=""4""><g class=""gr_ gr_4 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""4"" data-gr-id=""4"">Number</g></g>&nbsp;of children less than 6 years old tested in a given year with blood lead levels of 5 mcg/dL or 10 mcg/dL or greater.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Childhood Lead Exposure; 2005-2018]; retrieved from&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">&nbsp;http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","Rates are calculated by using the number of children less than 6 years old tested in a given year with blood lead levels of 5 mcg/dL or 10 mcg/dL or greater, divided by the number of children less than 6 years old who were tested for lead poisoning in a given year; expressed as cases per 1,000 tested.<br />
Children can receive more than one test during the calendar year, but are only counted once using the highest confirmed blood lead level during the calendar year.&nbsp;"

Location,Blood Lead Level,TimeFrame,DataFormat,Data,Fips
New York City,5 mcg/dL or greater,2014,Number,6550,3651000
New York City,10 mcg/dL or greater,2015,Number,908,3651000
New York City,5 mcg/dL or greater,2015,Number,5371,3651000
New York City,10 mcg/dL or greater,2016,Number,822,3651000
New York City,5 mcg/dL or greater,2016,Number,4928,3651000
New York City,10 mcg/dL or greater,2017,Number,799,3651000
New York City,5 mcg/dL or greater,2017,Number,4261,3651000
New York City,5 mcg/dL or greater,2017,Rate,14.5,3651000
New York City,10 mcg/dL or greater,2017,Rate,2.7,3651000
New York City,5 mcg/dL or greater,2016,Rate,16.5,3651000
New York City,10 mcg/dL or greater,2016,Rate,2.7,3651000
New York City,5 mcg/dL or greater,2015,Rate,17.3,3651000
New York City,10 mcg/dL or greater,2015,Rate,2.9,3651000
New York City,5 mcg/dL or greater,2014,Rate,20.8,3651000
New York City,10 mcg/dL or greater,2014,Rate,3,3651000
New York City,5 mcg/dL or greater,2013,Rate,22.3,3651000
New York City,10 mcg/dL or greater,2013,Rate,2.8,3651000
New York City,5 mcg/dL or greater,2012,Rate,24.9,3651000
New York City,10 mcg/dL or greater,2012,Rate,3.2,3651000
New York City,5 mcg/dL or greater,2011,Rate,33.4,3651000
New York City,10 mcg/dL or greater,2011,Rate,3.9,3651000
New York City,5 mcg/dL or greater,2010,Rate,40.9,3651000
New York City,10 mcg/dL or greater,2010,Rate,4.6,3651000
New York City,5 mcg/dL or greater,2009,Rate,45.9,3651000
New York City,10 mcg/dL or greater,2009,Rate,4.7,3651000
New York City,5 mcg/dL or greater,2008,Rate,62.3,3651000
New York City,10 mcg/dL or greater,2008,Rate,5.5,3651000
New York City,5 mcg/dL or greater,2007,Rate,95.8,3651000
New York City,10 mcg/dL or greater,2007,Rate,7.2,3651000
New York City,5 mcg/dL or greater,2006,Rate,110.3,3651000
New York City,10 mcg/dL or greater,2006,Rate,8.8,3651000
New York City,5 mcg/dL or greater,2005,Rate,120.4,3651000
New York City,10 mcg/dL or greater,2005,Rate,9.9,3651000
Manhattan,10 mcg/dL or greater,2005,Rate,7.4,36061
Manhattan,10 mcg/dL or greater,2007,Rate,4.5,36061
Manhattan,5 mcg/dL or greater,2006,Rate,101.7,36061
Manhattan,10 mcg/dL or greater,2006,Rate,6,36061
Manhattan,5 mcg/dL or greater,2005,Rate,110.6,36061
Manhattan,10 mcg/dL or greater,2011,Rate,2.5,36061
Manhattan,5 mcg/dL or greater,2010,Rate,27.2,36061
Manhattan,10 mcg/dL or greater,2010,Rate,3,36061
Manhattan,5 mcg/dL or greater,2009,Rate,36.4,36061
Manhattan,10 mcg/dL or greater,2009,Rate,3,36061
Manhattan,5 mcg/dL or greater,2008,Rate,55.4,36061
Manhattan,10 mcg/dL or greater,2008,Rate,4.3,36061
Manhattan,5 mcg/dL or greater,2007,Rate,88.2,36061
Manhattan,10 mcg/dL or greater,2015,Rate,1.6,36061
Manhattan,5 mcg/dL or greater,2014,Rate,14,36061
Manhattan,10 mcg/dL or greater,2014,Rate,1.8,36061
Manhattan,5 mcg/dL or greater,2013,Rate,15.1,36061
Manhattan,10 mcg/dL or greater,2013,Rate,1.7,36061
Manhattan,5 mcg/dL or greater,2012,Rate,15.3,36061
Manhattan,10 mcg/dL or greater,2012,Rate,1.8,36061
Manhattan,5 mcg/dL or greater,2011,Rate,22.2,36061
Manhattan,5 mcg/dL or greater,2017,Rate,7.7,36061
Manhattan,10 mcg/dL or greater,2017,Number,50,36061
Manhattan,5 mcg/dL or greater,2017,Number,256,36061
Manhattan,10 mcg/dL or greater,2017,Rate,1.5,36061
Manhattan,5 mcg/dL or greater,2016,Rate,8.1,36061
Manhattan,10 mcg/dL or greater,2016,Rate,1.3,36061
Manhattan,5 mcg/dL or greater,2015,Rate,10.6,36061
Manhattan,10 mcg/dL or greater,2013,Number,68,36061
Manhattan,5 mcg/dL or greater,2013,Number,622,36061
Manhattan,10 mcg/dL or greater,2014,Number,68,36061
Manhattan,5 mcg/dL or greater,2014,Number,539,36061
Manhattan,10 mcg/dL or greater,2015,Number,59,36061
Manhattan,5 mcg/dL or greater,2015,Number,399,36061
Manhattan,10 mcg/dL or greater,2016,Number,46,36061
Manhattan,5 mcg/dL or greater,2016,Number,289,36061
Manhattan,10 mcg/dL or greater,2009,Number,129,36061
Manhattan,5 mcg/dL or greater,2009,Number,1579,36061
Manhattan,10 mcg/dL or greater,2010,Number,133,36061
Manhattan,5 mcg/dL or greater,2010,Number,1228,36061
Manhattan,10 mcg/dL or greater,2011,Number,110,36061
Manhattan,5 mcg/dL or greater,2011,Number,992,36061
Manhattan,10 mcg/dL or greater,2012,Number,79,36061
Manhattan,5 mcg/dL or greater,2012,Number,654,36061
Manhattan,10 mcg/dL or greater,2005,Number,324,36061
Manhattan,5 mcg/dL or greater,2005,Number,4851,36061
Manhattan,10 mcg/dL or greater,2006,Number,268,36061
Manhattan,5 mcg/dL or greater,2006,Number,4531,36061
Manhattan,10 mcg/dL or greater,2007,Number,203,36061
Manhattan,5 mcg/dL or greater,2007,Number,3935,36061
Manhattan,10 mcg/dL or greater,2008,Number,190,36061
Manhattan,5 mcg/dL or greater,2008,Number,2428,36061
Bronx,5 mcg/dL or greater,2008,Number,4254,36005
Bronx,10 mcg/dL or greater,2008,Number,292,36005
Bronx,5 mcg/dL or greater,2007,Number,6174,36005
Bronx,10 mcg/dL or greater,2007,Number,438,36005
Bronx,5 mcg/dL or greater,2006,Number,7272,36005
Bronx,10 mcg/dL or greater,2006,Number,474,36005
Bronx,5 mcg/dL or greater,2005,Number,8245,36005
Bronx,10 mcg/dL or greater,2005,Number,595,36005
Bronx,5 mcg/dL or greater,2012,Number,1396,36005
Bronx,10 mcg/dL or greater,2012,Number,184,36005
Bronx,5 mcg/dL or greater,2011,Number,1996,36005
Bronx,10 mcg/dL or greater,2011,Number,231,36005
Bronx,5 mcg/dL or greater,2010,Number,2625,36005
Bronx,10 mcg/dL or greater,2010,Number,290,36005
Bronx,5 mcg/dL or greater,2009,Number,2742,36005
Bronx,10 mcg/dL or greater,2009,Number,278,36005
Bronx,5 mcg/dL or greater,2016,Number,884,36005
Bronx,10 mcg/dL or greater,2016,Number,162,36005
Bronx,5 mcg/dL or greater,2015,Number,971,36005
Bronx,10 mcg/dL or greater,2015,Number,155,36005
Bronx,5 mcg/dL or greater,2014,Number,1186,36005
Bronx,10 mcg/dL or greater,2014,Number,177,36005
Bronx,5 mcg/dL or greater,2013,Number,1312,36005
Bronx,10 mcg/dL or greater,2013,Number,193,36005
Bronx,5 mcg/dL or greater,2015,Rate,15.7,36005
Bronx,10 mcg/dL or greater,2016,Rate,2.7,36005
Bronx,5 mcg/dL or greater,2016,Rate,15,36005
Bronx,10 mcg/dL or greater,2017,Rate,2.8,36005
Bronx,5 mcg/dL or greater,2017,Number,752,36005
