"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Ridgewood/Glendale,Asian,2010,Percent,0.07198,405
Woodhaven,Asian,2010,Percent,0.23328,409
Jamaica/St. Albans,Asian,2010,Percent,0.10441,412
Howard Beach,Asian,2010,Percent,0.19485,410
The Rockaways,Asian,2010,Percent,0.01125,414
Bronx,Asian,2010,Percent,0.03478,36005
Brooklyn,Asian,2010,Percent,0.10161,36047
Manhattan,Asian,2010,Percent,0.11087,36061
Queens,Asian,2010,Percent,0.22973,36081
Staten Island,Asian,2010,Percent,0.07524,36085
New York City,Asian,2010,Percent,0.12549,3651000
Riverdale,Asian,2011,Number,4900,208
Williamsbridge,Asian,2011,Number,3419,212
Throgs Neck,Asian,2011,Number,2386,210
Pelham Parkway,Asian,2011,Number,11714,211
Morrisania,Asian,2011,Number,773.01086,203
East Tremont,Asian,2011,Number,806.98914,206
Bedford Park,Asian,2011,Number,6548,207
University Heights,Asian,2011,Number,2029,205
Concourse/Highbridge,Asian,2011,Number,2209,204
Unionport/Soundview,Asian,2011,Number,11800,209
Mott Haven,Asian,2011,Number,681.0891,201
Hunts Point,Asian,2011,Number,388.9109,202
Washington Heights,Asian,2011,Number,4984,112
Manhattanville,Asian,2011,Number,9401,109
Central Harlem,Asian,2011,Number,3752,110
East Harlem,Asian,2011,Number,7782,111
Upper East Side,Asian,2011,Number,18111,108
Upper West Side,Asian,2011,Number,14826,107
Chelsea/Clinton,Asian,2011,Number,12689.19557,104
Midtown Business District,Asian,2011,Number,6350.80443,105
